"Timestamp","Average A/L MCQ Marks (Out of 50)","Number of A/L Attempts","Which social media platforms do you use?","Approximately how many hours per day do you spend on social media?","Approximately how many hours per day do you spend on self-study (outside of school/tuition)?","Select the type of tuition class you attend for Subject 1:","Select the type of tuition class you attend for Subject 2:","Select the type of tuition class you attend for Subject 3:","How many years of past papers have you completed for each subject (on average)?","What was your average school attendance percentage during the A/L period?","Were you in a romantic relationship during your A/L preparation period?","On average, how would you rate your stress level during the A/L preparation period?"
"2026/01/25 6:34:12 PM GMT+5:30","35","1st Attempt","Facebook;WhatsApp;Telegram;YouTube","1-3 hours","6+ hours","Mass Class","Mass Class","Mass Class","4-7 years","Below 50%","Yes","Moderate"
"2026/01/25 8:38:11 PM GMT+5:30","31","1st Attempt","WhatsApp;Telegram;Snapchat;YouTube","1-3 hours","6+ hours","Mass Class","Mass Class","Mass Class","8-10 years","Below 50%","Yes","High"
"2026/01/26 1:23:23 PM GMT+5:30","35","2nd Attempt","WhatsApp;Telegram;YouTube","1-3 hours","4-6 hours","Mass Class","Mass Class","Mass Class","8-10 years","75-90%","No","Moderate"
"2026/01/26 1:37:03 PM GMT+5:30","34","3rd Attempt","YouTube","1-3 hours","4-6 hours","Mass Class","Mass Class","Mass Class","8-10 years","Below 50%","No","Moderate"
"2026/01/26 3:43:55 PM GMT+5:30","42","3rd Attempt","WhatsApp;Telegram;YouTube","1-3 hours","4-6 hours","Mass Class","Mass Class","Mass Class","8-10 years","Below 50%","No","Moderate"
"2026/01/26 7:30:29 PM GMT+5:30","30","1st Attempt","WhatsApp;Telegram;YouTube","Less than 1 hour","6+ hours","Mass Class","Mass Class","Mass Class","8-10 years","Below 50%","No","Moderate"
"2026/01/26 8:44:43 PM GMT+5:30","30","1st Attempt","Facebook;Instagram;TikTok;WhatsApp;Telegram;YouTube","1-3 hours","0-2 hours","Individual;Group","Individual","Mass Class","4-7 years","50-75%","Yes","Moderate"
"2026/01/26 8:50:44 PM GMT+5:30","40","3rd Attempt","Facebook;Instagram;WhatsApp;Telegram;YouTube","1-3 hours","6+ hours","Individual","Individual","Individual","8-10 years","Below 50%","Yes","High"
"2026/01/26 9:11:00 PM GMT+5:30","40","2nd Attempt","Instagram;TikTok;WhatsApp;Telegram;Snapchat;YouTube","3-5 hours","6+ hours","Mass Class","Mass Class","Mass Class","More than 10 years","Below 50%","No","Moderate"
"2026/01/26 9:55:14 PM GMT+5:30","30","3rd Attempt","Telegram;YouTube","3-5 hours","6+ hours","Mass Class","Mass Class","Mass Class","4-7 years","75-90%","Yes","Moderate"
"2026/01/27 12:05:44 AM GMT+5:30","33","2nd Attempt","Instagram;WhatsApp;Telegram;YouTube","3-5 hours","4-6 hours","Mass Class","Mass Class","Mass Class","8-10 years","Below 50%","No","High"
"2026/01/27 7:55:33 AM GMT+5:30","25","1st Attempt","WhatsApp;Telegram","Less than 1 hour","2-4 hours","Mass Class","Mass Class","Mass Class","4-7 years","50-75%","No","Moderate"
"2026/01/27 11:00:17 AM GMT+5:30","30","2nd Attempt","WhatsApp;Telegram;Snapchat;YouTube","1-3 hours","2-4 hours","Mass Class","Mass Class","Mass Class","4-7 years","50-75%","No","Moderate"
"2026/01/27 11:06:47 AM GMT+5:30","30","1st Attempt","Facebook;Instagram;TikTok;WhatsApp;Telegram;YouTube;Other","3-5 hours","2-4 hours","Group","","","4-7 years","75-90%","No","Moderate"
"2026/01/27 12:10:39 PM GMT+5:30","38","2nd Attempt","Instagram;TikTok;WhatsApp;Telegram;YouTube","3-5 hours","6+ hours","Mass Class","Mass Class","Mass Class","More than 10 years","75-90%","No","High"
"2026/01/27 12:46:15 PM GMT+5:30","25","1st Attempt","Instagram;TikTok;WhatsApp;Telegram;YouTube","1-3 hours","2-4 hours","Individual;Group","Individual;Group","Individual;Group","4-7 years","75-90%","No","Moderate"
